1,1,古代末期の西アジア①～東方キリスト教とビザンティン帝国～
1,2,古代末期の西アジア②～ゾロアスター教とペルシア帝国～
1,3,古代末期の西アジア③～偶像崇拝とアラビア砂漠～
1,4,預言者ムハンマドとイスラームの勃興
1,5,イスラームの大征服活動
1,6,ヘレニズムの吸収とイスラーム哲学・科学の成立
1,7,イスラームの社会秩序～イスラーム法学～
1,8,イスラームの内省～イスラーム神学とイスラーム神秘主義～
1,9,イブン・アラビーの出現と存在一性論
1,10,神秘主義的イスラームの時代
1,11,インド・イスラームの特徴
1,12,サラフィー主義とイスラーム復興運動
1,13,ワッハーブ派とバアス党
1,14,イスラーム原理主義へ
2,1,ガイダンス
2,2,聖母と教会１：エクレシアとシナゴーガ
2,3,聖母と教会２：慈しみの聖母
2,4,聖母と教会３：タイポロジー・小エッセイ
2,5,聖母の七つの喜び１
2,6,聖母の七つの喜び２
2,7,聖母の七つの悲しみ１
2,8,聖母の七つの悲しみ２：小エッセイ
2,9,聖母の奇跡譚：スペインの聖母伝と美術
2,10,聖母の奇跡譚：フランスの聖母伝と美術
2,11,聖母の奇跡譚：イギリスの聖母伝と美術・小エッセイ
2,12,時祷書に見る聖母信仰
2,13,祈念画に見る聖母信仰
2,14,総括
3,1,・ガイダンス（授業の展開とテキスト、評価方法、予習と復習について¥n・平和学の成立と主要な概念について
3,2,＜ファストファッション（低価格の洋服）は、どのようにつくられるのか＞¥n・ファストファッションを身にまとう私たち¥n・低価格の洋服を誰がどのようにつくっているのか¥n・価格を追求した結果、現場ではどのような悲劇がおこったのか¥n・バングラディシュの女性と私たち
3,3,＜モノから考えるグローバル経済と私たち＞¥n・豊かな国と貧しい国のモノの交換－帝国主義と植民地¥n・途上国でモノをつくって先進国に売る－新国際分業¥n・私たちがつくるグローバル経済－フェアトレードと民衆交易
3,4,アジアの農民の自立を支え、私たちとつながるフェアトレード（民衆交易）のNGOで働くということ　－　APLAのスタッフをお招きして
3,5,＜NGOと社会開発＞¥n・NGOとは何か（デービッド・コーテンの4つの分類より）¥n・日本のNGOと市民社会の歩みを振り返る¥n・NGOの意義と課題
3,6,世界を知り、その問題解決について考え、行動できるようになるということ　－ピース・ボートのスタッフをお招きして
3,7,＜アジアの貧困とNGO＞¥n・タイのストリートチルドレンと児童労働¥n・その原因と構造¥n・タイ政府の対応¥n・ユニセフやNGOの対応¥n・今日の課題
3,8,＜では、どうしたらいいのか－もう一つの発展＞¥n・内発的発展論¥n・持続可能な開発¥n・地域の取り組み
3,9,＜日本の政府開発援助（ODA)について＞¥n・日本のODAの歴史¥n・ODAの仕組みと特徴¥n・日本のODAの課題¥n・安全保障戦略に組み込まれたODA¥n・援助の在り方について考えてみよう
3,10,＜グローバル時代の民族紛争と平和構築＞¥n・冷戦の終結と地域紛争の勃発¥n・平和構築とは¥n・人道的介入について考えてみよう
3,11,＜世界を揺るがす難民問題＞¥n・難民とは¥n・移民、難民、国内難民¥n・国際社会は難民に対してどのように対応してきたのか¥n・シリア難民とEUの難民政策¥n・日本の難民政策
3,12,＜アジアの戦争と平和の歴史を振り返る＞¥n・帝国主義と植民地¥n・アジアの民族運動（インド、ベトナム、中国など）
3,13,＜日本とアジアの歴史＞¥n・近代国家をめざす日本¥n・東アジアと日本、東南アジアと日本¥n・歴史から何を学ぶのか
3,14,これまでの授業の振り返り　試験範囲アナウンスなど
4,1,マルチメディアの特徴
4,2,コンピュータの仕組み
4,3,情報のデジタル化
4,4,コンピュータシステムその1
4,5,コンピュータシステムその2
4,6,コンピュータグラフィックスと画像処理その1
4,7,コンピュータグラフィックスと画像処理その2
4,8,コンピュータグラフィックスと画像処理その3
4,9,ゲームとインターフェースその1
4,10,ゲームとインターフェースその2
4,11,人工知能その1
4,12,人工知能その2
4,13,人工知能その3
4,14,情報社会の未来
5,1,ガイダンス
5,2,NPO前史－地縁コミュニティ中心の社会からアソシエーション、NPOへ－
5,3,高度経済成長と住民運動・市民運動の展開
5,4,住民運動・市民運動の停滞と市民活動の展開
5,5,市民活動の特徴－制度的な文脈とボランタリー・アソシエーション－
5,6,市民活動からNPO活動へ－ボランタリー・アソシエーションの組織化プロセスとマネジメント－
5,7,NPO法制定のプロセス－モデルとなった制度、制定関係者、主要な論点－
5,8,NPOとは何か？－非営利の意味と日本における組織形態－
5,9,NPOのケーススタディ（１）
5,10,NPOのケーススタディ（２）
5,11,ケーススタディから考えるNPOの社会的機能とマネジメント
5,12,NPOの台頭を説明する理論とその問題点－政府の失敗、契約の失敗、ボランタリーの失敗－
5,13,NPOの発展を支える制度的基盤条件と今日的課題
5,14,まとめ
6,1,スペイン語とは
6,2,言語と国家
6,3,暦と言語、暦と国家
6,4,帝国の言語
6,5,抵抗の言語
6,6,征服と再征服
6,7,再征服と征服
6,8,魂の征服
6,9,国民の創生
6,10,世俗化とカトリックの未来
6,11,土着化と新宗教
6,12,ヒエラルキーと改革
6,13,南北アメリカ関係の新展開
6,14,まとめ
7,1,ガイダンス、および「太陽礼拝」実習
7,2,立位とバランス／講義：ヨガの基礎知識（略史・思想・分類・現状）と基本原理「八支則」
7,3,立位とバランス／講義：立位とバランスのメカニクス
7,4,前屈
7,5,前屈／講義：前屈のメカニクス
7,6,捻転／講義：調気法（呼吸法）解説と紹介
7,7,捻転／講義：捻転のメカニクス
7,8,後屈
7,9,後屈／講義：後屈のメカニクス
7,10,逆転
7,11,アームバランス／講義：逆転とアームバランスのメカニクス
7,12,「太陽礼拝」のセルフプラクティス
7,13,呼吸へのフォーカス
7,14,まとめ，セルフプラクティスに向けて
8,1,オリエンテーション：プログラムデザイン
8,2,自重エクササイズ
8,3,"Back squat, Bench press（フォーム練習）, Arm curl, Front raise"
8,4,"Bench press (nRM) , Upright rowing, Lunge squat"
8,5,"Back squat, Bench press, Deadlift, Bent over rowing"
8,6,"Back squat, Bench press, Bent over, Overhead squat, Lateral raise"
8,7,"Back squat, Bench press, Forward lunge, Side lunge, Straight leg deadlift"
8,8,"Bench press, Front squat, Front press, Hammer curl"
8,9,"Back squat, Bench press, Pull over, Triceps extension, Wrist curl, Reverse wrist curl"
8,10,"Back squat, Bench press, Shoulder shrug, Fly, Back fly"
8,11,"Back squat, Bench press, One Hand Row, Concentration curl, Back press"
8,12,"Bench press (1RM),グループトレーニング"
8,13,グループトレーニング（基礎）
8,14,グループトレーニング（発展）
9,1,オリエンテーション：プログラムデザイン
9,2,自重エクササイズ
9,3,"Back squat, Bench press（フォーム練習）, Arm curl, Front raise"
9,4,"Bench press (nRM) , Upright rowing, Lunge squat"
9,5,"Back squat, Bench press, Deadlift, Bent over rowing"
9,6,"Back squat, Bench press, Bent over, Overhead squat, Lateral raise"
9,7,"Back squat, Bench press, Forward lunge, Side lunge, Straight leg deadlift"
9,8,"Bench press, Front squat, Front press, Hammer curl"
9,9,"Back squat, Bench press, Pull over, Triceps extension, Wrist curl, Reverse wrist curl"
9,10,"Back squat, Bench press, Shoulder shrug, Fly, Back fly"
9,11,"Back squat, Bench press, One Hand Row, Concentration curl, Back press"
9,12,"Bench press (1RM),グループトレーニング"
9,13,グループトレーニング（基礎）
9,14,グループトレーニング（発展）
10,1,近･現代スポーツを理解する①： <i>＜近代＞スポーツとは</i>
10,2,近･現代スポーツを理解する②：<i>アマチュアリズム</i>
10,3,近･現代スポーツを理解する③：<i>ナショナリズム</i>
10,4,近･現代スポーツを理解する④：<i>コマーシャリズムとメディア化</i>
10,5,近･現代スポーツを理解する⑤：<i>グローバリゼーション</i>
10,6,近･現代スポーツを理解する⑥：<i>オリンピズム</i>
10,7,各論①：<i>ルール論</i>
10,8,各論②：<i>施設･用具論</i>
10,9,各論③：<i>障がい者のスポーツ</i>
10,10,各論④：<i>スポーツと暴力</i>
10,11,ジェンダー論①：<i>スポーツとジェンダー</i>
10,12,ジェンダー論②：<i>スポーツとセックス（身体的性）</i>
10,13,ジェンダー論③：<i>スポーツとセクシュアリティ</i>
10,14,まとめ：<i>近･現代スポーツの文化とは</i>
11,1,ガイダンス（授業の目的，内容，注意点の確認等），卓球の特性，ルール
11,2,グリップと構え，サービス，フォア・バックハンドの打ち方，練習
11,3,基本ストローク（サーブ中心），シングルスゲーム，総当たり戦①
11,4,基本ストローク（ラリー，スマッシュ中心），シングルスゲーム，総当たり戦②
11,5,シングルスゲームレベル別対戦①
11,6,シングルスゲームレベル別対戦②
11,7,ダブルスゲーム　ルール説明，練習
11,8,ダブルスゲーム①
11,9,ダブルスゲーム②
11,10,ダブルスゲーム③
11,11,団体戦①
11,12,団体戦②
11,13,団体戦③
11,14,まとめ
12,1,ガイダンス（授業の目的，内容，注意点の確認等），卓球の特性，ルール
12,2,グリップと構え，サービス，フォア・バックハンドの打ち方，練習
12,3,基本ストローク（サーブ中心），シングルスゲーム，総当たり戦①
12,4,基本ストローク（ラリー，スマッシュ中心），シングルスゲーム，総当たり戦②
12,5,シングルスゲームレベル別対戦①
12,6,シングルスゲームレベル別対戦②
12,7,ダブルスゲーム　ルール説明，練習
12,8,ダブルスゲーム①
12,9,ダブルスゲーム②
12,10,ダブルスゲーム③
12,11,団体戦①
12,12,団体戦②
12,13,団体戦③
12,14,まとめ
